Linux 3.11.0-17-generic (axle) 	05/11/14 	_x86_64_	(64 CPU)

19:33:05        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:34:05        all     23.50      0.00      5.79      0.61      0.00     70.10
19:35:05        all     24.97      0.00      4.75      0.03      0.00     70.24
19:36:05        all     22.52      0.00      6.15      0.09      0.00     71.24
19:37:05        all     23.53      0.00      3.97      0.00      0.00     72.50
19:38:05        all     20.17      0.00      4.44      0.04      0.00     75.35
19:39:05        all     23.88      0.00      4.07      0.08      0.00     71.98
19:40:05        all     23.96      0.00      3.71      0.04      0.00     72.29
19:41:05        all     23.60      0.00      4.98      0.01      0.00     71.41
19:42:05        all     22.89      0.00      4.34      0.02      0.00     72.75
19:43:05        all     23.77      0.00      4.54      0.00      0.00     71.69
19:44:05        all     25.85      0.00      3.60      0.03      0.00     70.51
19:45:05        all     22.07      0.00      4.52      0.02      0.00     73.38
19:46:05        all     24.55      0.00      3.78      0.01      0.00     71.66
19:47:05        all     23.98      0.00      3.67      0.01      0.00     72.34
19:48:05        all     26.31      0.00      3.34      0.00      0.00     70.35
19:49:05        all     26.73      0.00      3.10      0.01      0.00     70.17
19:50:05        all     23.86      0.00      4.12      0.00      0.00     72.02
19:51:05        all     22.91      0.00      3.66      0.01      0.00     73.41
19:52:05        all     22.38      0.00      4.23      0.02      0.00     73.38
19:53:05        all     25.34      0.00      3.30      0.04      0.00     71.31
19:54:05        all     25.11      0.00      3.70      0.06      0.00     71.13
19:55:05        all     26.10      0.00      3.85      0.08      0.00     69.96
19:56:05        all     24.21      0.00      4.25      0.02      0.00     71.53
19:57:05        all     24.39      0.00      4.74      0.06      0.00     70.81
19:58:05        all     22.23      0.00      4.47      0.05      0.00     73.25
19:59:05        all     21.92      0.00      4.67      0.01      0.00     73.41
20:00:05        all      8.90      0.00      1.61      0.02      0.00     89.47
20:01:05        all      3.08      0.00      0.34      0.01      0.00     96.57
20:02:05        all      3.09      0.00      0.33      0.01      0.00     96.57
